Page Number,Image Name (HC10-10002_XXX),Date (YYYY-MM-DD),Name of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Monthly Meeting,"Place (Township, County, etc)","Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)","Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Call Number
32,HC10-10002_072,1776-06-09,Jack alias John Powel,50,50,male,Gwynedd,"Montgomery, Philadelphia","Moore, Mord","Moore, Mordecai",male,"Morris, Joshua; Parrish, John","Morris, Joshua; Parrish, John","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
33,HC10-10002_072,1776-06-09,William Bolton,45,45,male,Gwynedd,"Montgomery, Philadelphia","Moore, Mord","Moore, Mordecai",male,"Morris, Joshua; Parrish, John","Joshua Morris, John Parrish","Cleaver, Ezekiel","Cleaver, Ezekiel","""note the aforesaid William Bolton has been at liberty at least twelve years past"" - notation under signatures on recto",HC.PhQ.P480.07.002 (1250/J2.16)
34,HC10-10002_074,1776-06-09,Lucy Bolton,24,24,female,Gwynedd,"Montgomery, Philadelphia","Moore, Mord","Moore, Mordecai",male,"Morris, Joshua; Parrish, John","Joshua Morris, John Parrish","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
35,HC10-10002_074,1776-06-10,Hester,18,18,female,Gwynedd,Germantown,"Paul, Jonat","Paul, Jonathan",male,"Cleaver, Ezekiel; Morris, Joshua","Cleaver, Ezekiel; Morris, Joshua","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
36,HC10-10002_077,1776-06-10,Fanny,1,18,female,Gwynedd,Germantown,"Paul, Jonat","Paul, Jonathan",male,"Cleaver, Ezekiel; Morris, Joshua","Cleaver, Ezekiel; Morris, Joshua","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
37,HC10-10002_077,1776-06-10,Sip,16,21,male,Gwynedd,"Whitemarsh, Philadelphia","Robeson, Jon","Robeson, Jonathan",male,"Cleaver, Ezekiel; Parrish, John","Cleaver, Ezekiel; Parrish, John","Cleaver, Ezekiel","Cleaver, Ezekiel","appears in heading and on verso panel as Robinson, but signed Robeson",HC.PhQ.P480.07.002 (1250/J2.16)
38,HC10-10002_080,1776-06-10,Kuff,15,21,male,Gwynedd,"Whitemarsh, Philadelphia","Robeson, Jon","Robeson, Jonathan",male,"Cleaver, Ezekiel; Parrish, John","Cleaver, Ezekiel; Parrish, John","Cleaver, Ezekiel","Cleaver, Ezekiel","appears in heading and on verso panel as Robinson, but signed Robeson",HC.PhQ.P480.07.002 (1250/J2.16)
39,HC10-10002_080,1776-06-10,Hester,9,18,female,Gwynedd,"Whitemarsh, Philadelphia","Robeson, Jon","Robeson, Jonathan",male,"Cleaver, Ezekiel; Parrish, John","Cleaver, Ezekiel; Parrish, John","Cleaver, Ezekiel","Cleaver, Ezekiel","appears in heading and on verso panel as Robinson, but signed Robeson",HC.PhQ.P480.07.002 (1250/J2.16)
40,HC10-10002_082,1776-06-10,Dick,12,21,male,Gwynedd,"Whitemarsh, Philadelphia","Robeson, Jon","Robeson, Jonathan",male,"Cleaver, Ezekiel; Parrish, John","Cleaver, Ezekiel; Parrish, John","Cleaver, Ezekiel","Cleaver, Ezekiel","appears in heading and on verso panel as Robinson, but signed Robeson",HC.PhQ.P480.07.002 (1250/J2.16)
41,HC10-10002_082,1776-09-18,Rose Boulton,22,22,female,Gwynedd,"Montgomery, Philadelphia","Moore, Mord","Moore, Mordecai",male,"Moore, Chas; Moore, Richd","Moore, Charles; Moore, Richard","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
42,HC10-10002_085,1776-09-18,David Boulton,25,25,male,Gwynedd,"Montgomery, Philadelphia","Moore, Mord","Moore, Mordecai",male,"Moore, Chas; Moore, Richd","Moore, Charles; Moore, Richard","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
44,HC10-10002_087,1778-02-08,Jack White,23,23,male,Gwynedd,"Norrington, Philadelphia","Evans, Miles","Evans, Miles",male,"Evans, George; Evans, Abigail; Evans, Hannah","Evans, George; Evans, Abigail; Evans, Hannah","Cleaver, Ezekiel","Cleaver, Ezekiel",,HC.PhQ.P480.07.002 (1250/J2.16)
47,HC10-10002_094,1776-02-08,Fortin,28,28,male,Haverford,"Haverford, Chester County","Lewis, John","Lewis, John",male,"Roberts, Hugh; Bacon, David; Lewis, Saml","Roberts, Hugh; Bacon, David; Lewis, Samuel","Roberts, John","Roberts, John",,HC.PhQ.P480.07.002 (1250/J2.16)
48,HC10-10002_095,1776-04-11,"Harry, Cudge",,,males,Haverford,"Lower Merion, Philadelphia","Roberts, Jn","Roberts, John",male,"Blakey, William; Roberts, Jehu","Blakey, William; Roberts, Jehu","Roberts, John","Roberts, John",,HC.PhQ.P480.07.002 (1250/J2.16)
49,HC10-10002_095,1776-04-12,Will Fishburn,,,male,Haverford,"Lower Merion, Philadelphia","Roberts, Jn","Roberts, John",male,"Lukens, Joseph; Blakey, William","Lukens, Joseph; Blakey, William","Roberts, John","Roberts, John",,HC.PhQ.P480.07.002 (1250/J2.16)
50,HC10-10002_098,1776-06-14,Glasgow,18,21,male,Haverford,"Radnor, Chester County","Matlack, Nathan","Matlack, Nathan",male,"Waln, Nicholas; Verree, Robert","Waln, Nicholas; Verree, Robert","Roberts, John","Roberts, John",,HC.PhQ.P480.07.002 (1250/J2.16)
51,HC10-10002_098,1776-06-14,Ambo,18,18,female,Haverford,"Radnor, Chester County","Matlack, Nathan","Matlack, Nathan",male,"Waln, Nicholas; Verree, Robert","Waln, Nicholas; Verree, Robert","Roberts, John","Roberts, John",,HC.PhQ.P480.07.002 (1250/J2.16)
52,HC10-10002_100,1776-07-08,Phineas,20,21,male,Haverford,"Tredifferin, Chester County","Stephens, Abijah","Stephens, Abijah",male,"Morris, Joshua; Waln, Nicholas","Morris, Joshua; Waln, Nicholas","Roberts, John","Roberts, John",,HC.PhQ.P480.07.002 (1250/J2.16)
53,HC10-10002_102,1777-05-20,Sall,41,41,female,Haverford,"Lower Merion, Philadelphia","Price, Jno","Price, John",male,"Price, Ann; Price, Jane","Price, Ann; Price, Jane",,,,HC.PhQ.P480.07.002 (1250/J2.16)
54,HC10-10002_104,1778-11-05,Binah,60,60,female,Haverford,"Tredifferin, Chester County","Havard, David","Havard, David",male,"Drinker, Henry; Cowper, Wm","Drinker, Henry; Cowper, William","Roberts, John","Roberts, John",,HC.PhQ.P480.07.002 (1250/J2.16)
55,HC10-10002_104,1778-11-05,Quan,54,54,male,Haverford,"Tredifferin, Chester County","Havard, David","Havard, David",male,"Drinker, Henry; Cowper, Wm","Drinker, Henry; Cowper, William","Roberts, John","Roberts, John",,HC.PhQ.P480.07.002 (1250/J2.16)
56,HC10-10002_106,1778-11-06,"Sela, Dinah, James, Thomas, Ishmael, London","32, 7, 14, 11, 9, 2","32, 18, 21, 21, 21, 21","female, female, male, male, male, female",Haverford,,"Teunis, Anthony","Teunis, Anthony",male,"Drinker, Henry; Smith, Sam","Drinker, Henry; Smith, Sam","Roberts, John","Roberts, John",variant spelling; other entries for this family spell surname Tunis,HC.PhQ.P480.07.002 (1250/J2.16)
57,HC10-10002_108,1779-03-03,Tom,34,34,male,Haverford,"Lower Merion, Philadelphia","Price, Jno","Price, John",male,"Scothorn, Lewis; Price, Edward","Scothorn, Lewis; Price, Edward","Roberts, John","Roberts, John",,HC.PhQ.P480.07.002 (1250/J2.16)
59,HC10-10002_113,1779-08-31,George,13,21,male,Haverford,"Radnor, Chester County","Morgan, John","Morgan, John",male,,"Jones, John; Lewis, Evan",,,,HC.PhQ.P480.07.002 (1250/J2.16)
60,HC10-10002_117,1780-12-08,"Sela, Dinah, James,Thomas, Ishmael, London","34, 16, 13, 11, 9, 4","34, 18, 21, 21, 21, 21","female, female, male, male, male, female",Haverford,,,"Tunis, Richard",male,,"George, David; George, Thomas",,,,HC.PhQ.P480.07.002 (1250/J2.16)
61,HC10-10002_119,1781-06-02,Cesar,40,40,male,Haverford,"Springfield, Chester",,"Lewis, John",male,,"Morris, Henry; Morris, Mary",,,,HC.PhQ.P480.07.002 (1250/J2.16)
58,HC10-10002_111,1781-08-10,"Phillis, Nanny, Christina","30, 4, 0.66667","30, 4, 0.66667","female, female, female",Haverford,"Springfield, Chester County","Lewis, John","Lewis, John",male,"Waln, Nicholas; George, Thomas","Waln, Nicholas; George, Thomas",,,,HC.PhQ.P480.07.002 (1250/J2.16)
62,HC10-10002_121,1781-08-10,"Selah, James,Thomas, Ishmael, Dinah, London","33, 15, 12, 10, 8, 3","33, 18, 21, 21, 21, 21","female, male, male, male, female, female",Haverford,"Lower Merion, Philadelphia",,"Tunis, Hannah",female,,"Waln, Nicholas; Parrish, John",,,,HC.PhQ.P480.07.002 (1250/J2.16)
63,HC10-10002_123,1784-04-10,"Sela, Dinah, James, Thomas Ishmael, London","40, 13, 20, 17, 15, 8","40, 18, 21, 21, 21, 21","female, female, male, male, male, female",Haverford,,,"Tunis, Benjamin",male,,"Roberts, John; Miller, Nicholas",,,,HC.PhQ.P480.07.002 (1250/J2.16)
64,HC10-10002_125,1784-06-03,"Sela, Dinah, James, Thomas, Ishmael, London","40, 13, 20, 17, 15, 8","40, 18, 21, 21, 21, 21","female, female, male, male, male, female",Haverford,"Lower Merion, Philadelphia",,"Tunis, Esther",female,,"Roberts, John; Tunis, Jane",,,,HC.PhQ.P480.07.002 (1250/J2.16)
197,HC10-10002_364,1775-06-24,"Amy, Sophia, Phebe"," , 7, 2",", 18, 18",female,Northern District,"Northern Liberties, Philadelphia",,"Hunt, John; Hunt, Rachel","male, female",,"Hudson, Mary; Hudson, Susanna","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
202,HC10-10002_374,1775-12-25,George,6,21,male,Northern District,Philadelphia,"Maxfield, Stephen","Maxfield, Stephen",male,"Fox, Joseph Junr; James, Abel","Fox, Joseph Jr.; James, Abel","Drinker, John","Drinker, John",Currently an apprentice to James Cooper (New Jersey),HC.PhQ.P480.07.002 (1250/J2.16)
203,HC10-10002_376,1775-12-25,Severn,13,21,male,Northern District,Philadelphia,"Maxfield, Stephen","Maxfield, Stephen",male,"Fox, Joseph Junr; James, Abel","Fox, Joseph Jr.; James, Abel","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
204,HC10-10002_378,1775-12-25,Ishmael,,,male,Northern District,Philadelphia,"Maxfield, Stephen","Maxfield, Stephen",male,"Fox, Joseph Junr; James, Abel","Fox, Joseph Jr.; James, Abel",,,Currently an apprentice to James Cooper,HC.PhQ.P480.07.002 (1250/J2.16)
205,HC10-10002_380,1776-01-04,George Hardiman,,21,male,Northern District,Northern Liberties of Philadelphia,,"Scattergood, Rebekah",female,,"Parrish, John; Drinker, Joseph","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
206,HC10-10002_382,1776-01-04,Dinah,,,female,Northern District,Northern Liberties of Philadelphia,,"Scattergood, Rebekah",female,,"Parrish, John; Drinker, Joseph","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
207,HC10-10002_384,1776-01-12,Ellinor,26,26,female,Northern District,Philadelphia,,"Hart, Sarah",female,,"Parrish, John; Cowper, William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
208,HC10-10002_386,1776-01-12,Hercules,,,male,Northern District,Philadelphia,,"Brooks, Martha",female,,"Parrish, John; Cowper, William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
209,HC10-10002_388,1776-01-12,Ishmael,,,male,Northern District,Philadelphia,,"Dubre, Hannah",female,,"Parrish, John; Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
198,HC10-10002_367,1776-01-23,Rose,21,21,female,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Thomson, Peter; Dorsey, Leonard","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
199,HC10-10002_367,1776-01-23,Billy,12,21,male,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Thomson, Peter; Dorsey, Leonard","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
210,HC10-10002_390,1776-02-01,Rica,19,21,male,Northern District,Northern Liberties of Philadelphia,,"Hunt, John; Hunt, Rachel","male, female",,"Hudson, Mary; Hudson, Susanna","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
211,HC10-10002_392,1776-02-01,Joe,11,21,male,Northern District,Northern Liberties of Philadelphia,,"Hunt, John; Hunt, Rachel","male, female",,"Hudson, Mary; Hudson, Susanna","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
212,HC10-10002_394,1776-06-03,Tamar,36,36,female,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Cowper, William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
213,HC10-10002_394,1776-06-03,Cicely,,,female,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
214,HC10-10002_396,1776-06-06,James,2,21,male,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
215,HC10-10002_396,1776-06-06,Susan,5,18,female,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
216,HC10-10002_398,1776-06-06,Jack,,,male,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
217,HC10-10002_398,1776-06-06,Julia,17,18,female,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Cowper, William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
218,HC10-10002_400,1776-06-06,Peter,,,male,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Cowper, William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
219,HC10-10002_400,1776-06-06,Betty,,,female,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
220,HC10-10002_402,1776-06-06,Nancy,19,19,female,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Cowper, William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
221,HC10-10002_402,1776-06-06,Hagar,1,18,female,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
222,HC10-10002_404,1776-06-06,Nane,,,female,Northern District,Philadelphia,,"Steel, Rebecca",female,,"Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
223,HC10-10002_404,1776-06-24,Cubit,7,21,male,Northern District,Northern Liberties of Philadelphia,,"Noble, Samuel",male,"Norton, Wilm; Cowper, William","Norton, William; Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
224,HC10-10002_407,1776-06-24,James,3,21,male,Northern District,Northern Liberties of Philadelphia,,"Noble, Samuel",male,"Norton, Wm; Cowper, Willim","Norton, William; Cowper, William","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
225,HC10-10002_407,1776-06-24,James Shay,30,30,male,Northern District,Northern Liberties of Philadelphia,,"Noble, Samuel",male,"Norton, Wm; Cowper, Willim","Norton, William; Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
226,HC10-10002_409,1776-06-24,Susannah,30,30,female,Northern District,Northern Liberties of Philadelphia,,"Noble, Samuel",male,"Norton, Wm; Cowper, Willim","Norton, William; Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
227,HC10-10002_409,1776-07-13,Filas,8,21,male,Northern District,Philadelphia,,"Say, Thomas",male,,"Cowper, William","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
228,HC10-10002_411,1776-07-29,James Venable,4,21,male,Northern District,Philadelphia,,"Norris, Elizabeth",female,"Miller, Peter; Shoemaker, Abrm","Miller, Peter; Shoemaker, Abraham","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
229,HC10-10002_411,1776-07-29,Robert Venable,8,21,male,Northern District,Philadelphia,,"Norris, Elizabeth",female,"Miller, Peter; Shoemaker, Abrm","Miller, Peter; Shoemaker, Abraham","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
230,HC10-10002_413,1776-07-29,Nancy,12,18,female,Northern District,Philadelphia,,"Norris, Elizabeth",female,"Miller, Peter; Shoemaker, Abrm","Miller, Peter; Shoemaker, Abraham","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
231,HC10-10002_413,1776-07-29,Dinah Venable,42,42,female,Northern District,Philadelphia,,"Norris, Elizabeth",female,"Miller, Peter; Shoemaker, Abrm","Miller, Peter; Shoemaker, Abraham","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
232,HC10-10002_415,1776-07-31,Violet,42,42,female,Northern District,Northern Liberties of Philadelphia,,"West, Charles",male,,"Drinker, Henry; Drinker, Elizabeth","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
233,HC10-10002_417,1776-08-05,London,55,55,male,Northern District,Philadelphia,,"Jones, John",male,,"West, Charles","Drinker, John","Drinker, John",Listed as between 50-60,HC.PhQ.P480.07.002 (1250/J2.16)
235,HC10-10002_420,1776-09-13,Harry Bennet,30,30,male,Northern District,Philadelphia,,"Norris, Elizabeth",female,"Miller, Peter; Shoemaker, Abrm","Miller, Peter; Shoemaker, Abraham","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
200,HC10-10002_370,1776-12-25,Bethsheba,,,female,Northern District,Philadelphia,"Maxfield, Stephen","Maxfield, Stephen",male,"Fox, Joseph Junr; James, Abel","Fox, Joseph Jr.; James, Abel","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
201,HC10-10002_372,1776-12-25,Abigail,,18,female,Northern District,Philadelphia,"Maxfield, Stephen","Maxfield, Stephen",male,"Fox, Joseph Junr; James, Abel","Fox, Joseph Jr.; James, Abel","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
234,HC10-10002_417,1776-12-27,Judith,40,40,female,Northern District,Philadelphia,,"Say, Benjamin",male,"Say, Thom",Thomas Say,"Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
236,HC10-10002_422,1777-02-01,Loney,50,50,male,Northern District,Philadelphia,,"Waln, Robert",male,,"West, Charles; Drinker, Henry","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
237,HC10-10002_422,1777-02-01,Jack,70,70,male,Northern District,Philadelphia,,"Waln, Robert",male,,"West, Charles; Drinker, Henry","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
238,HC10-10002_424,1777-05-06,"Nanney, Nanney, Richman, Black, Joe, Black, Harre","60, 25, 3, 0.75, 20, 12, 23","60, 25, 21, 21, 21, 21, 23","female, female, male, male, male, male",Northern District,Northern Liberties of Philadelphia,,"Hopkins, Robert",male,,"Verree, Robert; Forman, John",,,,HC.PhQ.P480.07.002 (1250/J2.16)
239,HC10-10002_427,1777-05-06,Harrey,50,50,male,Northern District,Northern Liberties of Philadelphia,,"Hopkins, Robert",male,,"Verree, Robert; Forman, John","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
240,HC10-10002_427,1777-05-23,Toney,35,35,male,Northern District,Philadelphia,,"Wills, Edward",male,,"Littles, Mary; Parrish, John","Drinker, Jno","Drinker, John",NB at bottom: Toney has his liberty for 12 years,HC.PhQ.P480.07.002 (1250/J2.16)
241,HC10-10002_429,1778-03-04,Rose,40,40,female,Northern District,Philadelphia,,"Dilworth, Jonathan",male,,"Waln, Nicholas","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
242,HC10-10002_429,1778-03-23,Cesar,19,21,male,Northern District,Philadelphia,,"Roberts, Hugh",male,"Roberts, Hugh; Roberts, Geo","Roberts, Hugh; Roberts, George","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
243,HC10-10002_432,1778-03-23,Trueman,15,21,male,Northern District,Philadelphia,,"Roberts, Hugh",male,"Roberts, Hugh; Roberts, Geo","Roberts, Hugh; Roberts, George","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
244,HC10-10002_432,1778-04-08,Zill,,,male,Northern District,Philadelphia,,"Steel, Mary",female,"Wallace, Eliz; Moore, Sam Preston","Wallace, Elizabeth; Moore, Sam Preston","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
245,HC10-10002_435,1778-04-11,"Chloe, unknown male children, unknown female children",,,"female, male, female",Northern District,Philadelphia,,"Steel, Rebecca",female,"Steel, Mary; Moore, Sop.","Steel, Mary; Moore, Sophia",,,,HC.PhQ.P480.07.002 (1250/J2.16)
246,HC10-10002_439,1778-04-11,"Phebe, unknown male child, unknown female child",,,"female, male, female",Northern District,Philadelphia,,"Steel, Rebecca",female,"Steel, Mary; Moore, Sop.","Steel, Mary; Moore, Sophia","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
247,HC10-10002_440,1779-01-28,Dinah,21,21,female,Northern District,Philadelphia,"Emlen, Saml. Junr.; Emlen, Sarah","Emlen, Samuel Jr.; Emlen, Sarah","male, female","Drinker, Henry; Humphreys, Richd Junr.","Drinker, Henry; Humphreys, Richard Jr.","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
248,HC10-10002_440,1779-07-15,Linchfield,23,23,male,Northern District,"Gloucester, New Jersey",,"Cooper, Joshua",male,,"West, Charles; Cooper, Wiiliam","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
249,HC10-10002_442,1779-07-22,Will,2,21,male,Northern District,Northern Liberties of Philadelphia,,"Taylor, Rachel",female,,"West, Charles; Drinker, Henry","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
250,HC10-10002_442,1780-08-10,Joseph Jennings,70,70,male,Northern District,Philadelphia,,"Taylor, Rachel",female,,"West, Charles; Drinker, Henry","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
251,HC10-10002_445,1780-11-14,Charles,9,21,male,Northern District,Philadelphia,"Hopkins, Johns Junr.","Hopkins Jr, Johns",male,,"Howell, Joshua; Drinker, Henry","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
252,HC10-10002_447,1781-10-23,Ruth,19,19,female,Northern District,Philadelphia,"Steel, Rebecca","Steel, Rebecca",female,"Drinker, John; Bartram, Mary","Drinker, John; Bartram, Mary","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
92,HC10-10002_176,1771-12-03,Spinage,67,67,female,Philadelphia,Philadelphia,"Moore, Samuel Preston","Moore, Samuel Preston",male,"Fox, Jos; Burge, Saml","Fox, Joseph; Burge, Samuel","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
65,HC10-10002_128,1772-10-09,James,,,male,Philadelphia,"Henrico County, Virginia",,"Pleasants, Robert",male,,"Crombie, George","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
102,HC10-10002_192,1774-06-21,"Agnes, Chloe, Frances","25, 25, 9",,female,Philadelphia,Philadelphia,,"Moore, Samuel Preston",male,"Hopkins, Richard; Lux, Will","Hopkins, Richard; Lux, Will","Drinker, John","Drinker, John","Signed by his Attorney, Geo. Matthews",HC.PhQ.P480.07.002 (1250/J2.16)
66,HC10-10002_130,1774-10-06,Sabina,30,30,female,Philadelphia,"Trenton, Hunterdon County","Morris, William","Morris, William",male,,"Waln, Nicholas; Norton, Mercy","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
87,HC10-10002_170,1775-10-20,Philis,19,19,female,Philadelphia,Philadelphia,"House, Esther","House, Esther",female,"Roberts, Hugh; Benezet, Anthony","Roberts, Hugh; Benezet, Anthony","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
88,HC10-10002_170,1775-10-26,Catherine (Kate),22,22,female,Philadelphia,Philadelphia,"House, Esther","House, Esther",female,"Roberts, Hugh; Benezet, Anthony","Roberts, Hugh; Benezet, Anthony","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
67,HC10-10002_132,1776-03-18,Fanny,23,23,female,Philadelphia,"Kingwood, Hunterdon County","Hornor, Amy","Hornor, Amy",female,,"Drinker, John; Cliffton, Henru","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
68,HC10-10002_134,1776-03-19,Parthenia,43,43,female,Philadelphia,Philadelphia,"Dawes, Hannah","Dawes, Hannah",female,,"Dawes, Judith; Roberts, Hugh","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
70,HC10-10002_138,1776-04-07,Peter,50,50,male,Philadelphia,Philadephia,"Howell, Hannah","Howell, Hannah",female,,"Stephen, Statler; Hough, Thomas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
69,HC10-10002_136,1776-04-15,Dinah,,,female,Philadelphia,Philadephia,"Logan, William; Logan, Hannah","Logan, William; Logan, Hannah","male, female",,"Morris, John",Drinker John,"Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
71,HC10-10002_140,1776-04-30,Dinah,,,female,Philadelphia,Philadelphia,"Shoemaker, Elizabeth","Shoemaker, Elizabeth",female,"Shoemaker, Thos; Waln, Nicholas","Shoemaker, Thomas; Waln, Nicholas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
73,HC10-10002_144,1776-04-30,Hagar,,,female,Philadelphia,Philadelphia,"Shoemaker, Elizabeth","Shoemaker, Elizabeth",female,"Shoemaker, Thos; Waln, Nicholas","Shoemaker, Thomas; Waln, Nicholas","Drinker, John","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
74,HC10-10002_146,1776-05-04,Andrew Cane,33,33,male,Philadelphia,Philadelphia,"Crukshank, Joseph","Crukshank, Joseph",male,,"Parrish, John; Crukshank, Mary","Drinker, Jno","Drinker, John",Noted as freed three years prior,HC.PhQ.P480.07.002 (1250/J2.16)
75,HC10-10002_146,1776-06-01,Elinor,79,79,female,Philadelphia,Philadelphia,"Morris, Debh","Morris, Deborah",female,"Gawthrop, Tho; Waln, Nicholas","Gawthrop, Thomas; Waln, Nicholas","Drinker, Jno","Drinker, John",,HC.PhQ.P480.07.002 (1250/J2.16)
